Sample Location,Sample Description #1,Lab Number,Total Exchange Capacity (meq/100 g),pH,Organic Matter (%),Estimated Nitrogen Release (# N/acre),S* (ppm),P* (mg/kg),Ca* (mg/kg),Mg* (mg/kg),K* (mg/kg),Na* (mg/kg),Ca** (%),Mg** (%),K** (%),Na** (%),Other Bases** (%),H** (%),B* (mg/kg),Fe* (mg/kg),Mn* (mg/kg),Cu* (mg/kg),Zn* (mg/kg),Al* (mg/kg),NO3-N (ppm),NH4-N (ppm),Bray I P (ppm)
SOS-0044,-,2260-1,19.27,7.1,9.78,124,5,70,2594,471,547,32,67.31,20.37,7.28,0.72,4.3,0,1,85,57,1.48,2.31,185,12.8,1.1,62
SOS-0045,-,2261-1,19.25,6.8,4.81,98,5,69,2624,416,428,23,68.16,18.01,5.7,0.52,4.6,3,0.6,85,56,1.82,1.48,325,7,0.6,46
SOS-0046,-,2262-1,18.50,7,6.3,106,6,82,2574,390,567,26,69.57,17.57,7.86,0.61,4.4,0,1,73,78,1.69,1.93,271,11.1,1.1,61
SOS-0047,-,2263-1,25.35,6.9,6.24,106,5,98,3522,557,579,22,69.47,18.31,5.86,0.38,4.5,1.5,0.84,77,86,2,2.34,255,10.1,0.9,64
SOS-0048,-,2264-1,21.32,7,9.77,124,7,95,2786,587,565,26,65.34,22.94,6.8,0.53,4.4,0,1.01,80,64,1.69,3.33,236,14.6,1.4,70
SOS-0049,-,2265-1,23.16,7.2,6.11,106,6,146,2906,694,687,25,62.74,24.97,7.61,0.47,4.2,0,1.03,64,82,2.07,2.21,269,11.4,0.6,90
SOS-0050,-,2266-1,19.56,7.2,6.4,107,5,109,2494,560,589,21,63.75,23.86,7.72,0.47,4.2,0,0.79,56,82,1.76,1.79,254,17,0.7,73
SOS-0051,-,2267-1,19.14,7.7,8.46,117,10,112,2639,424,624,23,68.94,18.46,8.36,0.52,3.7,0,1.52,61,91,1.96,3.25,229,3,2.8,81
SOS-0052,-,2268-1,19.93,6.9,5.12,101,5,86,2633,494,527,23,66.06,20.66,6.78,0.5,4.5,1.5,0.9,83,62,1.97,2.32,323,7,0.9,61
SOS-0053,-,2269-1,19.64,7,7.05,110,7,88,2548,521,619,25,64.87,22.11,8.08,0.55,4.4,0,0.97,77,61,1.82,2.1,241,18.4,0.7,61
SOS-0054,-,2270-1,23.52,6.9,5.59,103,6,126,2928,664,700,32,62.24,23.53,7.63,0.59,4.5,1.5,1.02,79,77,2.18,2.03,294,7.7,0.5,94
SOS-0055,-,2271-1,23.11,5.5,8.61,118,9,146,1828,458,643,21,39.55,16.52,7.13,0.4,6.4,30,0.66,188,96,1.38,4.92,478,15.3,1.1,105
SOS-0056,-,2272-1,21.00,5.8,9.28,121,12,190,1761,481,955,26,41.93,19.09,11.66,0.54,5.8,21,0.64,175,101,1.03,4.75,431,50.9,1.3,153
