"","SOS-1","SOS-10","SOS-11","SOS-12","SOS-13","SOS-14","SOS-15","SOS-16","SOS-17","SOS-18","SOS-19","SOS-2","SOS-20","SOS-21","SOS-22","SOS-23","SOS-24","SOS-25","SOS-26","SOS-27","SOS-28","SOS-29","SOS-3","SOS-30","SOS-31","SOS-32","SOS-33","SOS-35","SOS-37","SOS-38","SOS-39","SOS-4","SOS-44","SOS-46","SOS-47","SOS-48","SOS-49","SOS-5","SOS-50","SOS-51","SOS-52","SOS-53","SOS-55","SOS-56","SOS-6","SOS-7","SOS-8","SOS-9"
"OTU47","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1938"," 446","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"OTU48"," 440"," 152","  78","6397","   0","   0"," 158"," 147","   0","  20"," 131","  24","   0"," 361","   0","   0","   0","   0","   0"," 192","   0","   0"," 496","   0","   0","   0","   0","   0","   0","   0","   0","  13","1283","   0","   0","   0","   0"," 124","   0","   0"," 102","   0","   0","   0"," 184","   0","   0","   0"
"OTU49"," 676"," 639","  56"," 177"," 111"," 524"," 688","1025"," 990"," 882","2073","  64","3150"," 165"," 206"," 613","2208"," 157"," 194","  22","7925"," 630","  71","1535"," 140","  16","   0"," 120","1129","1679"," 142"," 545"," 532","   0","  94"," 151"," 445"," 526"," 153","   0","   0","  89"," 496","   8","2518","1330","9992","1334"
"OTU50"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","41"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9","22"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU51","   0","   0","   0","   0","   0","  32","   0","   0","   0","  15","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","   0"," 187","   0","   0","   0","1015","   8","  43","  91","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"OTU52","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2018"," 155","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 386","   0","   0","   0","   0","  84","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"OTU53"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0","21"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU54"," 0"," 0"," 0"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 9"," 0","15"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU55"," 0"," 0"," 0"," 0"," 0","92"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","64"," 0"," 0"," 0"," 0"," 0","97"," 0"," 0"," 0"," 0"," 0","55"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU56","  0","  0","  0","  0","  0"," 77","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","206","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","546","  0","  0","  0","  0","  0","  0","  0"," 32"
