sample,morphotype,notes,plate_number,column,row
,BLANK,,4,3,g
,BLANK,,4,3,h
SOS-002,C,,4,4,a
SOS-002,C,,4,4,b
SOS-002,C,,4,4,c
SOS-036,A,,4,4,d
SOS-036,A,,4,4,e
SOS-045,A/H,,4,4,f
SOS-045,A/H,,4,4,g
SOS-045,G,"maybe not root? Thick, black, but brown hyphae",4,4,h
SOS-003,A,,4,5,a
SOS-003,C,,4,5,b
SOS-003,C,,4,5,c
SOS-003,C,,4,5,d
SOS-003,C,,4,5,e
SOS-003,C,,4,5,f
,BLANK,,4,5,g
,BLANK,,4,5,h
SOS-048,H,,4,6,a
SOS-048,H,,4,6,b
SOS-048,A,,4,6,c
SOS-048,A,,4,6,d
SOS-048,A,,4,6,e
SOS-048,C,,4,6,f
SOS-048,C,,4,6,g
SOS-048,x,,4,6,h
SOS-031,H,,4,7,a
SOS-019,C,,4,7,b
SOS-019,C,,4,7,c
SOS-019,x,,4,7,d
SOS-019,x,,4,7,e
SOS-019,x,,4,7,f
SOS-019,x,,4,7,g
SOS-019,x,,4,7,h
SOS-024,A,,4,8,a
SOS-024,J,,4,8,b
SOS-024,J,,4,8,c
SOS-024,J,,4,8,d
SOS-024,J,,4,8,e
SOS-024,J,,4,8,f
SOS-043,A,,4,8,g
SOS-043,C,,4,8,h
SOS-012,A,,4,9,a
SOS-012,A,,4,9,b
SOS-012,A,,4,9,c
SOS-030,x,,4,9,d
SOS-030,x,,4,9,e
SOS-030,x,,4,9,f
SOS-030,x,,4,9,g
SOS-030,x,,4,9,h
SOS-047,C,,4,10,a
SOS-047,C,,4,10,b
SOS-047,C,,4,10,c
SOS-047,C,,4,10,d
SOS-047,x,,4,10,e
SOS-047,x,,4,10,f
SOS-047,x,,4,10,g
SOS-047,x,,4,10,h
